ಅವರು,third,plural,gender,nominative
ಅವು,third,plural,neuter,nominative
ಅವನು,third,singular,masculine,nominative
ಅವಳು,third,singular,feminine,nominative
ಅದು,third,singular,neuter,nominative
ನೀವು,second,number,gender,nominative,formal
ನೀನು,second,singular,gender,nominative,casual
ನಾವು,first,plural,gender,nominative
ನಾನು,first,singular,gender,nominative
ಅವರನ್ನು,third,plural,gender,accusative
ಅವುಗಳನ್ನು,third,plural,neuter,accusative
ಅವನನ್ನು,third,singular,masculine,accusative
ಅವಳನ್ನು,third,singular,feminine,accusative
ಅದನ್ನು,third,singular,neuter,accusative
ನಿಮ್ಮನ್ನು,second,number,gender,accusative,formal
ನಿನ್ನನ್ನು,second,singular,gender,accusative,casual
ನಮ್ಮನ್ನು,first,plural,gender,accusative
ನನ್ನನ್ನು,first,singular,gender,accusative
ಅವರಿಗೆ,third,plural,gender,dative
ಅವುಗಳಿಗೆ,third,plural,neuter,dative
ಅವನಿಗೆ,third,singular,masculine,dative
ಅವಳಿಗೆ,third,singular,feminine,dative
ಅದಕ್ಕೆ,third,singular,neuter,dative
ನಿಮಗೆ,second,number,gender,dative,formal
ನಿನಗೆ,second,singular,gender,dative,casual
ನಮಗೆ,first,plural,gender,dative
ನನಗೆ,first,singular,gender,dative
ಅವರ,third,plural,gender,genitive
ಅವುಗಳ,third,plural,neuter,genitive
ಅವನ,third,singular,masculine,genitive
ಅವಳ,third,singular,feminine,genitive
ಅದರ,third,singular,neuter,genitive
ನಿಮ್ಮ,second,number,gender,genitive,formal
ನಿನ್ನ,second,singular,gender,genitive,casual
ನಮ್ಮ,first,plural,gender,genitive
ನನ್ನ,first,singular,gender,genitive
ಅವರಿಂದ,third,plural,gender,instrumental
ಅವುಗಳಿಂದ,third,plural,neuter,instrumental
ಅವನಿಂದ,third,singular,masculine,instrumental
ಅವಳಿಂದ,third,singular,feminine,instrumental
ಅದರಿಂದ,third,singular,neuter,instrumental
ನಿಮ್ಮಿಂದ,second,number,gender,instrumental,formal
ನಿನ್ನಿಂದ,second,singular,gender,instrumental,casual
ನಮ್ಮಿಂದ,first,plural,gender,instrumental
ನನ್ನಿಂದ,first,singular,gender,instrumental
ಅವರಲ್ಲಿ,third,plural,gender,locative
ಅವುಗಳಲ್ಲಿ,third,plural,neuter,locative
ಅವನಲ್ಲಿ,third,singular,masculine,locative
ಅವಳಲ್ಲಿ,third,singular,feminine,locative
ಅದರಲ್ಲಿ,third,singular,neuter,locative
ನಿಮ್ಮಲ್ಲಿ,second,number,gender,locative,formal
ನಿನ್ನಲ್ಲಿ,second,singular,gender,locative,casual
ನಮ್ಮಲ್ಲಿ,first,plural,gender,locative
ನನ್ನಲ್ಲಿ,first,singular,gender,locative
ತಾನು,person,singular,gender,nominative,reflexive
ತನ್ನನ್ನು,person,singular,gender,accusative,reflexive
ತನಗೆ,person,singular,gender,dative,reflexive
ತನ್ನ,person,singular,gender,genitive,reflexive
ತನ್ನಿಂದ,person,singular,gender,instrumental,reflexive
ತನ್ನಲ್ಲಿ,person,singular,gender,locative,reflexive
ತಾವು,person,plural,gender,nominative,reflexive
ತಮ್ಮನ್ನು,person,plural,gender,accusative,reflexive
ತಮಗೆ,person,plural,gender,dative,reflexive
ತಮ್ಮ,person,plural,gender,genitive,reflexive
ತಮ್ಮಿಂದ,person,plural,gender,instrumental,reflexive
ತಮ್ಮಲ್ಲಿ,person,plural,gender,locative,reflexive
