அவர்கள்,third,plural,gender,nominative
அவை,third,plural,neuter,nominative
அவர்,third,singular,gender,nominative,formal
அவன்,third,singular,masculine,nominative
அவள்,third,singular,feminine,nominative
அது,third,singular,neuter,nominative
நீங்கள்,second,number,gender,nominative,formal
நீ,second,singular,gender,nominative,casual
நாங்கள்,first,plural,gender,nominative,exclusive
நாம்,first,plural,gender,nominative,inclusive
நான்,first,singular,gender,nominative
அவர்களை,third,plural,gender,accusative
அவற்றை,third,plural,neuter,accusative
அவரை,third,singular,gender,accusative,formal
அவனை,third,singular,masculine,accusative
அவளை,third,singular,feminine,accusative
அதை,third,singular,neuter,accusative
உங்களை,second,number,gender,accusative,formal
உன்னை,second,singular,gender,accusative,casual
எங்களை,first,plural,gender,accusative,exclusive
நம்மை,first,plural,gender,accusative,inclusive
என்னை,first,singular,gender,accusative
அவர்களுக்கு,third,plural,gender,dative
அவற்றுக்கு,third,plural,neuter,dative
அவருக்கு,third,singular,gender,dative,formal
அவனுக்கு,third,singular,masculine,dative
அவளுக்கு,third,singular,feminine,dative
அதற்கு,third,singular,neuter,dative
உங்களுக்கு,second,number,gender,dative,formal
உனக்கு,second,singular,gender,dative,casual
எங்களுக்கு,first,plural,gender,dative,exclusive
நமக்கு,first,plural,gender,dative,inclusive
எனக்கு,first,singular,gender,dative
அவர்களது,third,plural,gender,genitive
அவற்றின்,third,plural,neuter,genitive
அவரது,third,singular,gender,genitive,formal
அவனது,third,singular,masculine,genitive
அவளது,third,singular,feminine,genitive
அதன்,third,singular,neuter,genitive
உங்கள்,second,number,gender,genitive,formal
உன்,second,singular,gender,genitive,casual
எங்கள்,first,plural,gender,genitive,exclusive
நம்,first,plural,gender,genitive,inclusive
என்,first,singular,gender,genitive
அவர்களால்,third,plural,gender,instrumental
அவற்றால்,third,plural,neuter,instrumental
அவரால்,third,singular,gender,instrumental,formal
அவனால்,third,singular,masculine,instrumental
அவளால்,third,singular,feminine,instrumental
அதனால்,third,singular,neuter,instrumental
உங்களால்,second,number,gender,instrumental,formal
உன்னால்,second,singular,gender,instrumental,casual
எங்களால்,first,plural,gender,instrumental,exclusive
நம்மால்,first,plural,gender,instrumental,inclusive
என்னால்,first,singular,gender,instrumental
அவர்களிடம்,third,plural,gender,locative
அவற்றில்,third,plural,neuter,locative
அவரிடம்,third,singular,gender,locative,formal
அவனிடம்,third,singular,masculine,locative
அவளிடம்,third,singular,feminine,locative
அதில்,third,singular,neuter,locative
உங்களிடம்,second,number,gender,locative,formal
உன்னிடம்,second,singular,gender,locative,casual
எங்களிடம்,first,plural,gender,locative,exclusive
நம்மிடம்,first,plural,gender,locative,inclusive
என்னிடம்,first,singular,gender,locative
தான்,person,singular,gender,nominative,reflexive
தன்னை,person,singular,gender,accusative,reflexive
தனக்கு,person,singular,gender,dative,reflexive
தன்,person,singular,gender,genitive,reflexive
தன்னால்,person,singular,gender,instrumental,reflexive
தன்னிடம்,person,singular,gender,locative,reflexive
தாம்,person,plural,gender,nominative,reflexive
தம்மை,person,plural,gender,accusative,reflexive
தமக்கு,person,plural,gender,dative,reflexive
தம்,person,plural,gender,genitive,reflexive
தம்மால்,person,plural,gender,instrumental,reflexive
தம்மிடம்,person,plural,gender,locative,reflexive
